org;pro;COG;cat;annotation;pattern
 689 ; 1539 ; COG0006 ; E ;Xaa-Pro aminopeptidase; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||-||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||-|---|||||||||||||||||||||||||||-|||||||||||||-||||||||-||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||| 
 709 ; 1356 ; COG0008 ; J ;Glutamyl- or glutaminyl-tRNA synthetase; |||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 697 ; 1021 ; COG0009 ; J ;tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||-||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 699 ; 728 ; COG0012 ; J ;Ribosome-binding ATPase YchF, GTP1/OBG family; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||-||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 708 ; 812 ; COG0013 ; J ;Alanyl-tRNA synthetase; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||-|||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 663 ; 816 ; COG0015 ; F ;Adenylosuccinate lyase; |---|||-||||||||---|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||--|||||||----|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||-|||||||||||-|||||||||||||||||-||||||||-|----|--|||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||||-|||||||||||||||--|||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||-||||||||-||||||||||||||||||||||||||||||||||||-||||-|||-|||-||||||-||||||||||||||||||||||--||--| 
 707 ; 731 ; COG0016 ; J ;Phenylalanyl-tRNA synthetase alpha subunit; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 410 ; 488 ; COG0017 ; J ;Aspartyl/asparaginyl-tRNA synthetase; |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||---|-||---||---|-|-|----|----|---|-|-||--|-----||||------------||||-|-|-|---------|||||||||||||||||||||||||||||||||||||||||||||||||||||||-------||||-||||-----||||||||||-||||||||||||||||||-||||||-|||||||||||||-||||-|||||||||||-|--|-|||--|||||||-||||-||||||----||||||----|--|--||||||||||||-----|||||-|||||-------------------------------------------------------------------------------------------------------------------------------||||-|||||||||||||||-|||||-|-------------|||-|--|-||||---||-|-|--|||||||||-||||---|||||||-------||-||||||-||-||-|||||--||||-|-|-------|-|||||||-||||-|--|-||||||-|||--|-||--|||-|----|-|-||||-|- 
 700 ; 763 ; COG0018 ; J ;Arginyl-tRNA synthetase; ||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||-|||||||||||||||||||-||-|||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 507 ; 662 ; COG0021 ; G ;Transketolase; -----------------------------------------------------------------------------------|||||||||||-||||-||||||||-|--|||||-|||||||||||||||||||||-||||||||||||-|||||||||||-|||-|-|||||||||------|----|---|--------------------|||--|--||||--||||||||||||||--|||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||||---|-|----|----|---------||||--------||---------|||-|||--|-||||||----|-||||||||||||||||||||||||||||-||||||||||||||-||||||-|||||||||||||||--|||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||---|||-|||||||||||||||||||||-||||||||||||||--||--| 
